,DOT_ID_Reporting_Airline,Flight_Number_Reporting_Airline,rescheduled_departure_ga,Delay_Reductions,NewArrival,NewDeparture
18335,20363,4909,1632.3922589038655,63.607741096134646,3001,2816
18336,19805,699,1903.2172159658717,97.78278403412837,3350,3321
18337,20409,383,1449.1706464914898,1.829353508510056,2916,2411
18338,19805,1591,1536.8930018887281,1121.1069981112719,5203,4418
18339,20416,726,2160.4618989508585,40.53810104914149,1111,3641
18340,20397,5588,1749.7826847651518,-2.7826847651518363,3520,2907
18341,20304,3810,926.8243618698231,22.175638130176896,1921,1549
18342,19977,380,708.835776313477,249.164223686523,1954,1558
18343,20304,3690,1822.7254174649418,170.27458253505833,3446,3313
18344,19805,2215,1545.460199969103,5.539800030896987,2851,2551
18345,20397,5162,1350.1041020115663,17.89589798843378,2523,2248
